Units: million tonnes,OECD,OPEC,Rest of the world
1971,680.08,1199.28,611.16
1972,692.26,1283.11,658.43
1973,695.26,1454.98,720.19
1974,670.75,1446.02,758.46
1975,660.24,1274.41,805.25
1976,655.92,1440.44,870.08
1977,696.59,1454.20,918.66
1978,749.00,1394.66,963.97
1979,790.51,1452.19,986.21
1980,828.86,1269.42,1012.46
1981,849.96,1070.19,1021.65
1982,890.42,901.72,1019.99
1983,914.78,828.61,1047.46
1984,954.73,821.10,1093.37
1985,967.57,762.64,1088.60
1986,956.49,854.12,1124.13
1987,962.71,869.22,1135.16
1988,955.50,993.02,1154.85
1989,918.80,1065.51,1157.64
1990,917.84,1120.81,1148.21
1991,936.85,1138.78,1112.45
1992,952.31,1230.35,1043.83
1993,963.41,1283.35,1008.09
1994,999.19,1288.68,999.07
1995,1016.73,1316.09,1007.37
1996,1044.68,1358.82,1026.77
1997,1058.94,1421.21,1048.20
1998,1061.00,1468.94,1059.55
1999,1038.22,1414.11,1074.02
2000,1051.29,1494.82,1107.98
2001,1043.27,1479.10,1142.49
2002,1046.84,1385.80,1201.62
2003,1041.72,1492.93,1255.34
2004,1022.78,1615.38,1311.58
2005,975.67,1687.24,1341.55
2006,965.74,1706.18,1374.27
2007,957.99,1688.46,1402.78
2008,937.70,1733.93,1427.64
2009,949.90,1611.55,1443.14
2010,964.01,1643.84,1496.20
2011,978.92,1672.94,1498.60
2012,1028.07,1729.91,1487.10
2013,1086.23,1682.44,1496.45
2014,1172.15,1661.45,1518.91
2015,1221.18,1703.62,1533.59
2016,1189.97,1798.06,1528.16
2017,1227.48,1759.50,1518.65
2018,1336.23,1749.35,1533.75
2019,1410.42,1649.36,1557.64
2020,1361.14,1442.07,1492.98
